slug,area,dy
CJCT11,Lajes Corporativas,"0.00"
FMOF11,Lajes Corporativas,"0.00"
HRDF11,Híbrido,"0.00"
ORPD11,Títulos e Val. Mob.,"0.00"
VXXV11,Outros,"0.00"
QIRI11,Títulos e Val. Mob.,"114.86"
KNRE11,Residencial,"6.74"
LASC11,Shoppings,"4.13"
BREV11,Híbrido,"4.01"
LFTT11,Residencial,"1.94"
KINP11,Residencial,"1.91"
AGRX11,,"1.68"
HGAG11,,"1.62"
OIAG11,,"1.59"
NCRA11,,"1.44"
VGIA11,Títulos e Val. Mob.,"1.43"
CPTR11,,"1.39"
LSAG11,,"1.39"
HABT11,Títulos e Val. Mob.,"1.37"
RDPD11,Títulos e Val. Mob.,"1.37"
JPPA11,Títulos e Val. Mob.,"1.36"
VOTS11,Títulos e Val. Mob.,"1.35"
AAZQ11,,"1.35"
CACR11,Híbrido,"1.34"
IBCR11,Títulos e Val. Mob.,"1.32"
FGAA11,,"1.31"
XPCA11,Títulos e Val. Mob.,"1.31"
MGHT11,Hotel,"1.31"
URPR11,Outros,"1.31"
BICE11,Títulos e Val. Mob.,"1.30"
RZAK11,Títulos e Val. Mob.,"1.30"
BBFI11B,Lajes Corporativas,"1.30"
GCRA11,Híbrido,"1.30"
VCRI11,,"1.29"
OURE11,Títulos e Val. Mob.,"1.28"
MCHY11,Títulos e Val. Mob.,"1.27"
RBRY11,Títulos e Val. Mob.,"1.27"
OUJP11,Títulos e Val. Mob.,"1.26"
RBHY11,Títulos e Val. Mob.,"1.26"
VGIR11,Títulos e Val. Mob.,"1.25"
RZAG11,Títulos e Val. Mob.,"1.25"
RBHG11,Títulos e Val. Mob.,"1.25"
XPCI11,Outros,"1.25"
RRCI11,Títulos e Val. Mob.,"1.25"
EQIR11,Títulos e Val. Mob.,"1.24"
CYCR11,Títulos e Val. Mob.,"1.23"
APTO11,Híbrido,"1.23"
AIEC11,Lajes Corporativas,"1.22"
GCRI11,Títulos e Val. Mob.,"1.21"
DCRA11,,"1.20"
FLCR11,Títulos e Val. Mob.,"1.20"
MORC11,Títulos e Val. Mob.,"1.20"
NCHB11,Títulos e Val. Mob.,"1.20"
CEOC11,Lajes Corporativas,"1.20"
NAVT11,Títulos e Val. Mob.,"1.19"
PLCR11,Híbrido,"1.19"
PORD11,Títulos e Val. Mob.,"1.19"
QAMI11,Híbrido,"1.19"
